DEBUG 15-01 13:56:55,878 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 15-01 13:56:55,882 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 15-01 13:56:55,893 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 15-01 13:56:55,893 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 15-01 13:56:55,900 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 15-01 13:56:55,905 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 15-01 13:56:55,906 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 15-01 13:56:55,907 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 15-01 13:56:55,909 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 15-01 13:56:55,912 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 15-01 13:56:55,914 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 15-01 13:56:55,918 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 15-01 13:56:55,919 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 15-01 13:56:55,920 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 15-01 13:56:55,920 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 15-01 13:56:55,922 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 15-01 13:56:55,924 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 15-01 13:56:55,926 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 15-01 13:56:55,929 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 15-01 13:56:55,932 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 15-01 13:56:55,932 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 15-01 13:56:55,936 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 15-01 13:56:55,937 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 15-01 13:56:55,940 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 15-01 13:56:55,942 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 15-01 13:56:55,944 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 15-01 13:56:55,944 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 15-01 13:56:55,946 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 15-01 13:56:55,949 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 15-01 13:56:55,954 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 15-01 13:56:55,955 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 15-01 13:56:55,956 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 15-01 13:56:55,959 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 15-01 13:56:55,963 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 15-01 13:56:55,964 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 15-01 13:56:55,966 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 15-01 13:56:55,969 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 15-01 13:56:55,972 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 15-01 13:56:55,972 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 15-01 13:56:55,975 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
